"","FID","publicid","origintime","longitude","latitude","depth","magnitude","magnitudetype","status","phases","type","agency","updatetime","origin_geom","Energy","Date","Time"
"43","quake.2013p712706","2013p712706","2013-09-21T16:48:58.294",-177.6959,-33.6273,69.4079,5.4342,"M","reviewed",69,"","WEL(GNS_Primary)","2013-09-21T22:13:34.96","POINT (-33.627277 -177.69589)",0.271769052344228,2013-09-21,"16:48:58.294"
"44","quake.2013p707698","2013p707698","2013-09-19T20:20:11.637",179.7361,-31.0094,333,4.5735,"M","reviewed",17,"outside of network interest","WEL(GNS_Primary)","2013-09-20T03:30:22.377","POINT (-31.009361 179.7361)",0.0374541547036101,2013-09-19,"20:20:11.637"
"45","quake.2013p683303","2013p683303","2013-09-10T19:43:13.693",-178.8011,-33.731,52.1396,5.0688,"M","reviewed",72,"","WEL(GNS_Primary)","2013-09-10T20:53:54.663","POINT (-33.730972 -178.80106)",0.11716556739113,2013-09-10,"19:43:13.693"
"46","quake.2013p666224","2013p666224","2013-09-04T12:04:10.533",174.4235,-41.5003,16.0742,5.0729,"M","reviewed",26,"","WEL(GNS_Primary)","2013-09-04T12:12:42.245","POINT (-41.500254 174.42351)",0.118276918169953,2013-09-04,"12:04:10.533"
"47","quake.2013p665166","2013p665166","2013-09-04T02:39:36.54",-178.0651,-31.772,33,5.0625,"M","reviewed",41,"outside of network interest","WEL(GNS_Primary)","2013-09-04T03:22:29.274","POINT (-31.772036 -178.06506)",0.115478198468946,2013-09-04,"02:39:36.54"
"48","quake.2013p664439","2013p664439","2013-09-03T20:12:12.458",-178.5389,-31.9479,255.3521,4.7357,"M","reviewed",30,"","WEL(GNS_Primary)","2013-09-03T21:08:34.097","POINT (-31.947889 -178.53888)",0.0544126653615445,2013-09-03,"20:12:12.458"
"49","quake.2013p658995","2013p658995","2013-09-01T19:50:43.985",-176.1991,-29.4891,10,5.8273,"mB","reviewed",28,"outside of network interest","WEL(GNS_Primary)","2013-09-01T21:47:32.212","POINT (-29.489096 -176.19913)",0.671892819776302,2013-09-01,"19:50:43.985"
"50","quake.2013p646277","2013p646277","2013-08-28T02:54:40.522",-177.2324,-28.6452,565.2,5.9442,"M","reviewed",78,"","WEL(GNS_Primary)","2013-08-28T03:50:03.096","POINT (-28.645208 -177.23245)",0.879427414883684,2013-08-28,"02:54:40.522"
"51","quake.2013p642197","2013p642197","2013-08-26T14:42:22.116",-178.9475,-33.7332,33,4.5438,"M","reviewed",30,"","WEL(GNS_Primary)","2013-08-27T03:25:19.623","POINT (-33.733219 -178.94751)",0.0349784048425141,2013-08-26,"14:42:22.116"
"52","quake.2013p636915","2013p636915","2013-08-24T15:47:05.771",-176.3965,-32.6074,35.5977,5.3739,"M","reviewed",29,"","WEL(GNS_Primary)","2013-08-24T22:35:30.292","POINT (-32.607422 -176.39648)",0.23653749870576,2013-08-24,"15:47:05.771"
"53","quake.2013p633798","2013p633798","2013-08-23T12:06:29.828",-178.8134,-32.3955,70,5.2367,"M","reviewed",17,"","WEL(GNS_Primary)","2013-08-23T18:43:36.188","POINT (-32.395481 -178.81342)",0.172464613707425,2013-08-23,"12:06:29.828"
"54","quake.2013p621340","2013p621340","2013-08-18T21:27:06.623",-178.0664,-30.4102,290.2578,5.8673,"M","reviewed",13,"","WEL(GNS_Primary)","2013-08-18T23:08:52.98","POINT (-30.410156 -178.06641)",0.736715827029878,2013-08-18,"21:27:06.623"
"55","quake.2013p621337","2013p621337","2013-08-18T21:27:02.353",-175.5739,-31.2926,107.9913,5.2957,"M","reviewed",30,"","WEL(GNS_Primary)","2013-08-18T22:30:03.359","POINT (-31.292551 -175.57388)",0.197560446943261,2013-08-18,"21:27:02.353"
"56","quake.2013p619458","2013p619458","2013-08-18T04:46:05.725",166.1135,-47.3476,5.9375,5.108,"M","reviewed",13,"","WEL(GNS_Primary)","2013-08-19T00:42:37.207","POINT (-47.347563 166.11351)",0.128233058265602,2013-08-18,"04:46:05.725"
"57","quake.2013p618032","2013p618032","2013-08-17T16:07:52.423",174.1024,-41.731,20.0586,5.0437,"M","reviewed",49,"","WEL(GNS_Primary)","2013-08-17T16:23:31.115","POINT (-41.731043 174.1024)",0.110585961931262,2013-08-17,"16:07:52.423"
"58","quake.2013p617227","2013p617227","2013-08-17T08:58:39.68",174.0486,-41.7699,19.5898,5.4837,"M","reviewed",61,"","WEL(GNS_Primary)","2013-08-17T09:07:29.304","POINT (-41.769924 174.04859)",0.304579030537342,2013-08-17,"08:58:39.68"
"59","quake.2013p616691","2013p616691","2013-08-17T04:13:20.905",173.9923,-41.7793,19.6484,5.0356,"M","reviewed",53,"","WEL(GNS_Primary)","2013-08-17T04:28:36.198","POINT (-41.779325 173.99226)",0.108542544930683,2013-08-17,"04:13:20.905"
"60","quake.2013p616687","2013p616687","2013-08-17T04:11:01.735",174.0673,-41.7692,12.4414,4.77,"M","reviewed",69,"","WEL(GNS_Primary)","2013-08-17T04:45:59.84","POINT (-41.76922 174.06726)",0.0588843655355588,2013-08-17,"04:11:01.735"
"61","quake.2013p615178","2013p615178","2013-08-16T14:47:02.523",174.3202,-41.6951,19.7656,4.9417,"M","reviewed",51,"","WEL(GNS_Primary)","2013-08-16T14:57:52.509","POINT (-41.695104 174.3202)",0.0874379566558508,2013-08-16,"14:47:02.523"
"62","quake.2013p614487","2013p614487","2013-08-16T08:38:54.758",174.1145,-41.7379,21.7578,5.2016,"M","reviewed",39,"","WEL(GNS_Primary)","2013-08-16T08:49:25.321","POINT (-41.737864 174.11451)",0.159074292375022,2013-08-16,"08:38:54.758"
"63","quake.2013p614345","2013p614345","2013-08-16T07:23:15.211",174.2342,-41.8786,26.5625,4.6749,"M","reviewed",41,"","WEL(GNS_Primary)","2013-08-16T07:31:50.84","POINT (-41.878593 174.23423)",0.0473042324399955,2013-08-16,"07:23:15.211"
"64","quake.2013p614294","2013p614294","2013-08-16T06:55:58.94",174.2889,-41.6771,19.6484,5.4909,"M","reviewed",36,"","WEL(GNS_Primary)","2013-08-16T07:06:08.038","POINT (-41.677085 174.28888)",0.309670617417077,2013-08-16,"06:55:58.94"
"65","quake.2013p614289","2013p614289","2013-08-16T06:53:34.266",174.1436,-41.6987,18.4766,4.8752,"M","reviewed",29,"","WEL(GNS_Primary)","2013-08-16T07:04:43.155","POINT (-41.698676 174.14358)",0.0750239627907464,2013-08-16,"06:53:34.266"
"66","quake.2013p614268","2013p614268","2013-08-16T06:42:40.757",174.2899,-41.6913,20.1172,5.2131,"M","reviewed",29,"","WEL(GNS_Primary)","2013-08-16T06:50:32.198","POINT (-41.691294 174.28987)",0.163342801529616,2013-08-16,"06:42:40.757"
